,Unnamed: 0,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100Km,highway-mpg,price,price-binned
0,0,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.19047619047619,27,13495.0,Low
1,1,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.19047619047619,27,16500.0,Low
2,2,1,122.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.8226814031715521,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,12.368421052631579,26,16500.0,Low
3,3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.8486304661220567,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102,5500,9.791666666666666,30,13950.0,Low
4,4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.8486304661220567,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115,5500,13.055555555555555,22,17450.0,Low
5,5,2,122.0,audi,gas,std,two,sedan,fwd,front,99.8,0.8519942335415667,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,15250.0,Low
6,6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.9259971167707832,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,17710.0,Low
7,7,1,122.0,audi,gas,std,four,wagon,fwd,front,105.8,0.9259971167707832,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,18920.0,Medium
8,8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140,5500,13.823529411764707,20,23875.0,Medium
10,10,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,10.217391304347826,29,16430.0,Low
11,11,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,10.217391304347826,29,16925.0,Low
12,12,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,28,20970.0,Medium
13,13,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,28,21105.0,Medium
14,14,1,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.75,25,24565.0,Medium
15,15,0,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.6875,22,30760.0,Medium
16,16,0,122.0,bmw,gas,std,two,sedan,rwd,front,103.5,0.9312830370014417,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.6875,22,41315.0,High
17,17,0,122.0,bmw,gas,std,four,sedan,rwd,front,110.0,0.9466602594906295,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15.666666666666666,20,36880.0,High
18,18,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.6780394041326285,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5.0,53,5151.0,Low
19,19,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.7491590581451226,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,43,6295.0,Low
20,20,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.7630946660259491,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,43,6575.0,Low
21,21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.351351351351352,41,5572.0,Low
22,22,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6377.0,Low
23,23,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7957.0,Low
24,24,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6229.0,Low
25,25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7558865929841423,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6692.0,Low
26,26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7558865929841423,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,7609.0,Low
27,27,1,148,dodge,gas,turbo,,sedan,fwd,front,93.7,0.7558865929841423,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,30,8558.0,Low
28,28,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.8390197020663143,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.791666666666666,30,8921.0,Low
29,29,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,66.3,50.2,2811,ohc,four,156,mfi,3.60,3.90,7.0,145,5000,12.368421052631579,24,12964.0,Low
30,30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.6948582412301778,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.795918367346939,54,6479.0,Low
31,31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.6948582412301778,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.580645161290323,38,6855.0,Low
32,32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.184210526315789,42,5399.0,Low
33,33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,6529.0,Low
34,34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,7129.0,Low
35,35,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.7851994233541567,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,7295.0,Low
36,36,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.754925516578568,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.833333333333333,34,7295.0,Low
37,37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8049014896684287,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,7895.0,Low
