,Unnamed: 0.1,Unnamed: 0,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100Km,highway-mpg,price,price-binned
0,0,0,3.0,122.0,0,1,0,1,0,2,0,88.6,0.8111484863046613,64.1,48.8,2548.0,0,2,130.0,5,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27.0,13495.0,1
1,1,1,3.0,122.0,0,1,0,1,0,2,0,88.6,0.8111484863046613,64.1,48.8,2548.0,0,2,130.0,5,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27.0,16500.0,1
2,2,2,1.0,122.0,0,1,0,1,2,2,0,94.5,0.8226814031715521,65.5,52.4,2823.0,4,3,152.0,5,2.68,3.47,9.0,154.0,5000.0,12.36842105263158,26.0,16500.0,1
3,3,3,2.0,164.0,1,1,0,0,3,1,0,99.8,0.8486304661220567,66.2,54.3,2337.0,2,2,109.0,5,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,30.0,13950.0,1
4,4,4,2.0,164.0,1,1,0,0,3,0,0,99.4,0.8486304661220567,66.4,54.3,2824.0,2,1,136.0,5,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,22.0,17450.0,1
5,5,5,2.0,122.0,1,1,0,1,3,1,0,99.8,0.8519942335415667,66.3,53.1,2507.0,2,1,136.0,5,3.19,3.4,8.5,110.0,5500.0,12.36842105263158,25.0,15250.0,1
6,6,6,1.0,158.0,1,1,0,0,3,1,0,105.8,0.9259971167707832,71.4,55.7,2844.0,2,1,136.0,5,3.19,3.4,8.5,110.0,5500.0,12.36842105263158,25.0,17710.0,1
7,7,7,1.0,122.0,1,1,0,0,4,1,0,105.8,0.9259971167707832,71.4,55.7,2954.0,2,1,136.0,5,3.19,3.4,8.5,110.0,5500.0,12.36842105263158,25.0,18920.0,2
8,8,8,1.0,158.0,1,1,1,0,3,1,0,105.8,0.9259971167707832,71.4,55.9,3086.0,2,1,131.0,5,3.13,3.4,8.3,140.0,5500.0,13.823529411764708,20.0,23875.0,2
10,10,10,2.0,192.0,2,1,0,1,3,2,0,101.2,0.849591542527631,64.8,54.3,2395.0,2,2,108.0,5,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29.0,16430.0,1
11,11,11,0.0,192.0,2,1,0,0,3,2,0,101.2,0.849591542527631,64.8,54.3,2395.0,2,2,108.0,5,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29.0,16925.0,1
12,12,12,0.0,188.0,2,1,0,1,3,2,0,101.2,0.849591542527631,64.8,54.3,2710.0,2,3,164.0,5,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28.0,20970.0,2
13,13,13,0.0,188.0,2,1,0,0,3,2,0,101.2,0.849591542527631,64.8,54.3,2765.0,2,3,164.0,5,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28.0,21105.0,2
14,14,14,1.0,122.0,2,1,0,0,3,2,0,103.5,0.9082172032676598,66.9,55.7,3055.0,2,3,164.0,5,3.31,3.19,9.0,121.0,4250.0,11.75,25.0,24565.0,2
15,15,15,0.0,122.0,2,1,0,0,3,2,0,103.5,0.9082172032676598,66.9,55.7,3230.0,2,3,209.0,5,3.62,3.39,8.0,182.0,5400.0,14.6875,22.0,30760.0,2
16,16,16,0.0,122.0,2,1,0,1,3,2,0,103.5,0.9312830370014415,67.9,53.7,3380.0,2,3,209.0,5,3.62,3.39,8.0,182.0,5400.0,14.6875,22.0,41315.0,0
17,17,17,0.0,122.0,2,1,0,0,3,2,0,110.0,0.9466602594906296,70.9,56.3,3505.0,2,3,209.0,5,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,20.0,36880.0,0
18,18,18,2.0,121.0,3,1,0,1,2,1,0,88.4,0.6780394041326285,60.3,53.2,1488.0,1,4,61.0,1,2.91,3.03,9.5,48.0,5100.0,5.0,53.0,5151.0,1
19,19,19,1.0,98.0,3,1,0,1,2,1,0,94.5,0.7491590581451226,63.6,52.0,1874.0,2,2,90.0,1,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43.0,6295.0,1
20,20,20,0.0,81.0,3,1,0,0,3,1,0,94.5,0.7630946660259491,63.6,52.0,1909.0,2,2,90.0,1,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43.0,6575.0,1
21,21,21,1.0,118.0,4,1,0,1,2,1,0,93.7,0.7558865929841423,63.8,50.8,1876.0,2,2,90.0,1,2.97,3.23,9.41,68.0,5500.0,6.351351351351352,41.0,5572.0,1
22,22,22,1.0,118.0,4,1,0,1,2,1,0,93.7,0.7558865929841423,63.8,50.8,1876.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6377.0,1
